Ticker,forwardPE,revenueGrowth,overallRisk,netIncomeToCommon,auditRisk,beta,boardRisk,compensationRisk,currentRatio,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,forwardEps,heldPercentInsiders,heldPercentInstitutions,industry,netIncomeToCommon,pegRatio,quickRatio,recommendationMean,returnOnAssets,returnOnEquity,revenuePerShare,sector,shareHolderRightsRisk,sharesShort,sharesShortPriorMonth,shortRatio,trailingEps
MEET,14.571428,0.366,4,-70342104,2,1.974644,5,8,1.155,26.305,,,0.15032,17.215,2.588,0.35,0.02631,0.51993,Internet Content & Information,-70342104,0.72,1.037,1.7,0.020550001,-0.32542,2.119,Technology,1,6104366,6261256,6.41,-0.976
RIG,-19.532257,0.111,4,-2872999936,5,1.497445,3,3,1.492,77.9,,,0.38923,11.823,4.602,-0.62,0.07406,0.77913004,Oil & Gas Drilling,-2872999936,-0.1,1.113,2.7,0.00608,-0.21523,6.58,Energy,3,77265464,71484417,6.41,-6.835
HP,58.544643,0.301,7,464420992,1,1.369085,9,7,2.97,11.113,,,0.23594,13.47,3.178,1.12,0.02812,1.00737,Oil & Gas Drilling,464420992,3.97,2.4,2.9,0.00029,0.107939996,21.356,Energy,6,9179894,9170707,6.4,4.144
IEP,26.950878,0.216,,1227000064,,1.756528,,,1.46,63.303,-0.821,-0.801,0.12805,10.503,1.345,2.85,3.00E-05,0.9901,Conglomerates,1227000064,,0.211,2.5,0.033350002,0.16964,121.14,Industrials,,795376,739025,6.39,7.645
ARRY,-45.794117,0.66,6,-147346000,1,1.991117,2,9,4.707,50.866,,,-1.3758299,-23.289,32.041,-0.34,0.00657,0.95489997,Biotechnology,-147346000,-2.15,4.634,1.6,-0.21962,-1.27313,0.468,Healthcare,7,13512252,14392700,6.38,-0.742
AMRS,47.21053,-0.097,,-136490000,,-2.123176,,,0.421,,,1.473,-0.13097,-29.369,3.847,0.19,0.45707,0.28795,Specialty Chemicals,-136490000,-0.18,0.338,2,-0.15412,,3.134,Basic Materials,,4047494,3653289,6.35,-2.833
EIGI,-965,-0.015,5,-41848000,2,1.538852,3,8,0.414,1257.634,,,0.262,10.345,2.71,-0.01,0.19681999,0.93477994,Software - Application,-41848000,-4,0.166,3.2,0.030450001,-0.32904,8.351,Technology,6,4717829,3940963,6.34,-0.299
NSC,17.332005,0.099,3,5731999744,1,1.49832,3,1,0.81,59.943,0.466,0.429,0.44714,11.898,5.32,10.03,0.00102,0.74557996,Railroads,5731999744,1.15,0.623,2.4,0.067490004,0.39259,38.535,Industrials,6,11303174,5795090,6.33,20
ACHN,-5.2272725,,5,-80328000,2,0.255129,3,7,35.918,0.07,,,0,-1.875,,-0.66,0.00127,0.8347,Biotechnology,-80328000,-0.29,35.322,2,-0.15332,-0.24448,,Healthcare,7,5700392,6929327,6.32,-0.582
NOW,62.73482,0.408,5,-113936000,1,1.584562,6,7,1.28,96.122,,,0.016549999,913.359,15.122,3.13,0.01101,0.98733,Software - Application,-113936000,1.63,1.153,1.8,-0.01805,-0.16583,13.038,Technology,3,11142936,11118989,6.28,-0.653
OCN,-24.588234,-0.185,6,-78018000,10,0.0361,1,7,12.962,1202.165,,,0.23969999,29.284,7.019,-0.17,0.16375,0.62161,Specialty Finance,-78018000,-3.86,2.938,3,0.01569,-0.13295001,8.166,Financial Services,1,5762007,6353810,6.28,-0.592
CARA,-9.168181,,9,-60582000,2,3.223646,10,9,3.978,,,,0,-10.557,227.641,-2.2,0.03102,0.49263,Biotechnology,-60582000,,3.806,1.6,-0.30279,-0.66466004,0.088,Healthcare,8,5638623,6355455,6.27,-1.846
CWH,6.996621,0.13,10,32708000,2,,10,5,1.432,1727.605,-0.139,0.449,0.078590006,7.159,0.563,2.96,0.0054,1.27973,Recreational Vehicles,32708000,1.07,0.315,1.5,0.07851,1.04251,133.929,Consumer Cyclical,10,11476941,12662638,6.26,-0.139
PAH,12.165137,0.086,8,-161400000,10,2.703514,7,5,2.11,212.771,,,0.20936,10.887,2.279,1.09,0.0925,1.00734,Specialty Chemicals,-161400000,1.07,1.426,2.1,0.02849,-0.058379997,13.775,Basic Materials,4,25212050,25093337,6.25,-0.563
DAR,19.9798,-0.054,1,180375008,2,1.327266,2,4,1.902,72.509,,,0.124510005,11.008,1.371,0.99,0.01361,1.03049,Waste Management,180375008,7.41,0.999,2,0.01736,0.08193,21.914,Industrials,1,5281375,4598197,6.24,1.079
FOSL,36.564514,-0.034,2,-141347008,2,-0.544075,5,4,2.107,76.635,,,0.05479,8.668,0.475,0.62,0.093380004,1.0050701,Footwear & Accessories,-141347008,3.55,0.88,3.3,0.03181,-0.23627001,56.514,Consumer Cyclical,2,11942173,8667564,6.21,-2.906
AAOI,14.116041,-0.252,7,35245000,2,1.092108,7,8,3.216,17.812,-0.72,-0.724,0.2027,12.336,2.501,2.93,0.052750003,0.74411005,Semiconductors,35245000,1.39,1.741,2.5,0.05614,0.10842,16.547,Technology,8,9216710,11399309,6.21,1.747
CME,24.60986,0.146,10,4412700160,1,0.514907,8,7,1.084,14.786,0.361,0.361,0.68432,22.611,15.473,7.1,0.00791,0.88594,Financial Exchanges,4412700160,2.58,0.043,2.2,0.021189999,0.20103,11.674,Financial Services,10,7847681,7510678,6.2,12.951
HOME,22.638159,0.243,10,20523000,2,1.14,10,8,0.886,77.744,,,0.15037,17.505,2.632,1.52,0.0033,1.33938,Specialty Retail,20523000,1.08,0.025,1.5,0.04745,0.03349,17.101,Consumer Cyclical,6,3705891,4268924,6.17,0.321
ANF,21.88889,0.081,1,37971000,1,0.341344,1,1,2.249,25.893,,,0.09553,3.637,0.347,0.99,0.00807,1.09806,Apparel Stores,37971000,1.46,1.217,3.1,0.042329997,0.03615,53.016,Consumer Cyclical,3,12009065,12078683,6.17,0.543
COL,17.45186,0.054,8,1005000000,1,0.708932,7,1,1.648,105.663,0.482,0.536,0.21078,16.004,3.373,7.79,0.00433,0.69241995,Aerospace & Defense,1005000000,1.57,0.743,3.1,0.04927,0.16201,52.526,Industrials,10,5871437,5926926,6.17,6.076
DKS,11.379939,0.01,8,332347008,1,0.076182,5,5,1.53,8.857,0.165,0.062,0.084750004,4.911,0.416,3.29,0.03529,0.99754,Specialty Retail,332347008,3.21,0.138,2.6,0.07064,0.17254,84.96,Consumer Cyclical,10,11942477,12037649,6.15,3.231
EDIT,-9.918429,1.38,9,-132449000,2,3.299,9,8,14.498,14.241,,,0,-9.184,56.827,-3.31,0.04483,0.72585,Biotechnology,-132449000,,14.34,2.7,-0.22037001,-0.63626,0.48,Healthcare,8,5586361,5560220,6.15,-2.995
QSR,19.261745,0.186,3,801800000,2,1.328185,3,5,1.237,286.405,0.803,0.068,0.42714,12.828,5.48,2.98,0.038399998,0.86168,Restaurants,801800000,1.13,1.084,2.3,0.05609,0.2489,20.724,Consumer Cyclical,3,9462063,9267748,6.14,3.215
LXP,58.375004,0.103,4,13867000,2,1.087961,4,1,4.54,172.203,,,0.81404,14.383,11.708,0.16,0.10339,0.77222997,REIT - Diversified,13867000,46.9,1.613,3.4,0.027,0.01632,1.715,Real Estate,4,4646107,4364673,6.11,0.058
ENDP,6.3518515,-0.184,2,-921484992,1,0.103781,1,4,1.072,,,,0.07625,48.134,3.67,2.7,0.00267,1.04705,Drug Manufacturers - Specialty & Generic,-921484992,-0.7,0.73,2.7,0.03041,-2.46707,13.292,Healthcare,3,35166960,42416505,6.11,-4.615
ZGNX,-19.39759,,7,-141462000,2,1.943579,3,9,6.886,,,,0,-11.709,,-2.49,0.02782,0.90573,Drug Manufacturers - Major,-141462000,-0.53,6.644,1.5,-0.25517,-0.78733003,0,Healthcare,7,4496002,4977746,6.09,-4.372
PBI,5.761905,0.179,7,254454000,1,1.228083,1,6,1.228,1823.634,-0.018,-0.014,0.16922002,6.522,1.104,1.26,0.00575,0.76455003,Business Equipment,254454000,1.71,1.001,2.4,0.04566,2.25919,20.447,Industrials,10,13400078,9684501,6.03,1.32
ICPT,-13.373207,0.411,5,-340656000,2,2.037789,4,8,6.513,247.858,,,-1.9299899,-10.048,19.393,-8.36,0.26805001,0.71032995,Biotechnology,-340656000,1.15,6.289,2.4,-0.31865,-2.15414,6.053,Healthcare,5,4004133,5271118,6.03,-13.004
GWPH,-32.690426,0.087,,-235411584,,2.733876,,,8.67,3.371,,,0,-16.171,217.989,-4.49,0.00035,0.7886,Drug Manufacturers - Major,-235411584,0.38,8.207,2.1,-0.28002,-0.51063,0.632,Healthcare,,1988869,2121121,6.03,-8.743
AVEO,-9.34375,0.234,,-27882000,,1.14447,,,1.165,,,,0,,56.187,-0.32,0.00307,0.52651,Biotechnology,-27882000,,1.11,2,-0.48841998,,0.052,Healthcare,,16975960,15190137,6.01,-0.317
CAR,8.03876,0.04,3,404000000,1,1.370442,4,2,1.281,4126.075,7.96,7.667,0.10533,18.229,1.92,3.87,0.01853,1.0972,Rental & Leasing Services,404000000,0.62,1.05,2.3,0.02368,1.5538499,111.457,Industrials,5,12824781,10650488,5.98,4.875
TEAM,94.747375,0.398,,-119341000,,2.459,,,3.946,91.809,,,0.00515,4445.081,22.883,0.95,0.00326,0.96281,Software - Application,-119341000,4.43,3.885,2.2,-0.01812,-0.13358,3.78,Technology,,7552864,8981128,5.97,-0.52
AKRX,33.382977,-0.041,8,-184844992,10,1.711943,2,6,3.943,113.295,,,0.083330005,37.945,3.162,0.47,0.20679002,0.78498,Drug Manufacturers - Specialty & Generic,-184844992,-3.65,2.716,3,-0.00653,-0.23003,6.1,Healthcare,6,9939058,10972803,5.96,-1.479
BEAT,38.385094,0.696,1,-1452000,2,0.915793,2,2,2.29,74.117,4.8,5.051,0.24247,24.502,5.941,1.61,0.02062,0.93977,Diagnostics & Research,-1452000,1.55,1.945,1.7,0.07255,-0.017070001,10.825,Healthcare,3,2613998,2929136,5.95,-0.053
APO,10.757009,0.164,,353201984,,1.581094,,,1.978,79.339,-0.43,-0.306,0,,4.661,3.21,0.01223,0.7593,Asset Management,353201984,-10.81,1.768,1.8,0.14464,0.35946,10.756,Financial Services,,4500855,6035710,5.94,1.793
EXEL,16.482456,0.88,4,322972000,2,2.036782,4,6,6.867,2.754,3.955,3.955,0.48119,16.253,7.821,1.14,0.03497,0.82663,Biotechnology,322972000,0.54,6.675,1.9,0.28171,0.70001,2.272,Healthcare,5,19123110,20769450,5.93,1.031
UNIT,99.14286,0.161,4,17046000,1,0.721074,3,2,1.159,,,,0.79804003,10.731,8.564,0.21,0.0041,0.73383003,REIT - Industrial,17046000,22.38,1.159,2.5,0.04733,,5.635,Real Estate,8,14977295,16460968,5.89,0.069
NAV,12.814706,0.156,6,153000000,2,2.383385,6,4,1.112,,,,0.07354,12.563,0.924,3.4,0.17052999,0.91889,Truck Manufacturing,153000000,4.08,0.766,2.6,0.052360002,,92.677,Industrials,9,2433364,2691449,5.89,1.554
MZOR,238.95,-0.143,,-8629000,,1.979469,,,7.34,,,,-0.122880004,-143.127,17.588,0.2,0.113579996,0.24562,Medical Devices,-8629000,-11.38,6.743,2.8,-0.055209998,-0.0958,2.586,Healthcare,,3273018,3001104,5.87,-0.336
NEE,20.322582,-0.076,2,8224999936,1,0.169254,6,5,0.578,90.031,-0.023,0.003,0.50054,13.796,6.905,8.37,0.00183,0.79175,Utilities - Regulated Electric,8224999936,2.33,0.331,1.9,0.03708,0.23655,35.608,Utilities,2,8821001,8522902,5.87,17.282
WIN,-0.7302326,-0.032,,-2152300032,,-0.703032,,,0.697,,,,0.32285,5.666,1.829,-6.45,0.01652,0.61322,Telecom Services,-2152300032,-0.01,0.509,3.5,0.02062,,156.68,Communication Services,,8627993,8240831,5.85,-57.212
COUP,,0.37,9," (49,221,000.00)",2,,9,9,3.27,66.535,,,-0.2048,-91.479,18.735,0,0.00652,1.02166,Software - Infrastructure,-49221000,4642.44,3.161,2.3,-0.06428,-0.21961,3.718,Technology,8,3640013,4059550,5.84,-0.906
SM,16.17742,0.399,1,219228000,1,3.818381,1,3,0.911,106.544,,,0.35624,11.64,4.147,1.86,0.00945,1.2075,Oil & Gas E&P,219228000,-1.75,0.758,2.3,-0.00923,0.0837,12.222,Energy,1,13399636,14725414,5.83,1.951
CLDR,-36.609756,0.29,,-214515008,,,,,1.768,0.196,,,-0.53134996,-8.572,4.555,-0.41,0.02558,0.8032,Software - Application,-214515008,-1.4,1.685,2.5,-0.26240999,-0.96683,2.766,Technology,,6957059,7843453,5.81,-1.519
DRI,19.022951,0.103,1,603800000,1,0.076071,1,2,0.4,42.213,0.418,0.41,0.13373,13.855,1.853,6.1,0.00198,0.92175,Restaurants,603800000,1.67,0.167,2.1,0.091709994,0.28107,65.162,Consumer Cyclical,1,6771165,7755728,5.8,4.728
ETE,8.413462,0.498,,1402000000,,2.270179,,,0.994,144.584,0.645,0.675,0.14897999,13.648,2.033,2.08,0.29023,0.4479,Oil & Gas Midstream,1402000000,0.77,0.669,1.6,0.03227,0.11712,43.592,Energy,,38786298,24526707,5.79,1.052
D,16.691038,0.098,8,2928999936,1,0.254814,9,8,0.517,188.71,0.113,0.151,0.48034,13.835,6.646,4.24,0.00339,0.71521,Utilities - Diversified,2928999936,2.71,0.206,2.6,0.03288,0.16288,19.957,Utilities,6,19283229,21627910,5.77,4.516
TLYS,22.615385,0.134,9,26368000,1,0.701283,7,5,2.364,,,,0.0929,8.644,0.803,1.04,0.05098,0.99929,Apparel Stores,26368000,1.93,1.46,1.5,0.06806,0.15287,20.618,Consumer Cyclical,10,778630,824322,5.76,0.903
ENBL,14.68868,0.286,,394000000,,1.904044,,,0.343,48.963,-0.005,0,0.2983,12.009,3.582,1.06,0.64075,0.17767,Oil & Gas Midstream,394000000,2.57,0.25,2.8,0.029059999,0.05623,7.068,Energy,,4232501,7286775,5.76,0.907
XPO,24.652777,0.16,9,449700000,1,2.670901,4,9,1.263,111.385,1.681,1.871,0.08399,13.04,1.095,4.32,0.01631,0.94056,Integrated Shipping & Logistics,449700000,0.77,1.094,2,0.03632,0.13974,139.447,Industrials,10,7348096,12432334,5.75,3.401
SGMO,-19.836956,1.595,4,-62272000,2,3.239341,7,6,7.242,,,,-1.10025,-18.021,19.828,-0.92,0.00356,0.6461,Biotechnology,-62272000,1.35,7.176,1.7,-0.09187999,-0.21403,0.669,Healthcare,2,11995745,13809882,5.75,-0.707
CZR,44.347824,1.055,10,1559000064,5,-0.243356,10,10,1.983,554.114,,,0.24234,13.985,3.389,0.23,0.21981001,1.1518,Resorts & Casinos,1559000064,-2.93,1.786,1.8,0.02406,,12.323,Consumer Cyclical,6,98967591,80913024,5.72,2.81
CHS,14.030769,-0.059,1,88254000,1,0.454227,1,2,2.01,9.555,-0.264,-0.262,0.09711,4.097,0.398,0.65,0.02247,0.98731005,Apparel Stores,88254000,0.9,0.924,2.8,0.07279,0.14361,17.824,Consumer Cyclical,2,12396320,11031006,5.72,0.706
SFLY,24.897436,1.121,7,32440000,2,1.258402,4,10,1.724,224.602,,,0.14451,17.27,2.496,3.12,0.00462,1.18999,Personal Services,32440000,1.12,1.156,2.6,0.04862,0.06211,43.701,Consumer Cyclical,3,4996214,5563620,5.69,0.961
KNX,12.594096,3.874,3,613132032,2,0.916945,6,3,1.468,15.912,1.318,4.082,0.16469999,9.139,1.505,2.71,0.09669,0.90529,Trucking,613132032,0.59,1.161,1.9,0.053600002,0.19771999,28.094,Industrials,3,22000797,21168425,5.69,3.818
EL,26.387947,0.139,10,1108000000,2,0.246361,10,6,1.863,75.244,-0.181,-0.188,0.20382999,18.671,3.806,5.31,0.01074,0.95513,Household & Personal Products,1108000000,2.65,1.269,2,0.11695,0.24517,37.182,Consumer Defensive,10,11119891,9030560,5.67,2.95
WLK,10.201725,0.129,8,1570000000,1,1.710019,9,3,2.272,45.604,0.812,0.817,0.25353,6.937,1.759,9.27,0.72031,0.3154,Specialty Chemicals,1570000000,0.66,1.47,2.5,0.08816,0.32222998,65.741,Basic Materials,9,4547901,4617909,5.67,12.076
AXL,5.016997,0.081,6,422000000,2,1.620255,3,9,1.618,221.221,1.203,1.282,0.16861,4.57,0.771,3.53,0.010460001,1.03304,Auto Parts,422000000,2.01,1.207,2.3,0.06026,0.28309,64.703,Consumer Cyclical,5,10192071,9265537,5.66,3.764
TAHO,5.9310346,-0.393,7,-48805000,2,-0.232137,6,8,1.966,3.02,,,0.21933001,9.36,2.053,0.58,,,Gold,-48805000,-6.48,0.897,2,-0.00462,-0.018550001,1.724,Basic Materials,6,14576522,14352127,5.64,-0.16
EXAS,-99.85333,0.785,7,-124472000,2,1.172848,6,5,15.794,87.936,,,-0.28905,-85.142,24.611,-0.75,0.02123,0.87351996,Diagnostics & Research,-124472000,-2.71,15.192,1.8,-0.07301,-0.19372,2.928,Healthcare,9,13246192,11101100,5.59,-1.032
GIS,14.200617,0.022,4,2131000064,1,0.771533,3,2,0.562,217.629,-0.137,-0.133,0.21221,13.061,2.772,3.24,0.00271,0.73483,Packaged Foods,2131000064,2.89,0.307,2.7,0.06518,0.33626,27.289,Consumer Defensive,7,25026212,27776279,5.58,3.64
NLY,9.155172,8.235,4,2910355968,1,-0.09221,3,7,0.025,602.981,,39.749,0,,27.945,1.16,0.00325,0.57212,REIT - Diversified,2910355968,-4.68,0.012,3,0.03305,0.23027,3.049,Real Estate,3,50978700,31358349,5.58,2.56
ACAD,-9.294118,0.872,7,-251680992,2,3.966119,6,7,6.118,,,,-1.35992,-6.142,8.352,-1.53,0.0012,0.95925003,Biotechnology,-251680992,-0.3,5.761,2.2,-0.41255,-0.74039,1.492,Healthcare,8,16170421,16280528,5.58,-2.029
ALNY,-17.13268,0.877,4,-569937984,1,3.125749,3,6,13.22,1.851,,,0,-18.082,101.581,-7.16,0.11415,0.91611,Biotechnology,-569937984,-0.37,12.763,2.1,-0.23764,-0.41544,1.1,Healthcare,6,5430343,5092552,5.58,-5.867
CMI,9.472278,0.208,9,1049000000,1,0.94078,10,6,1.611,30.046,0.312,0.285,0.12073,9.171,1.107,14.97,0.00267,0.83111,Diversified Industrials,1049000000,0.93,0.922,2.9,0.07491,0.12825,136.077,Industrials,7,7674418,2993373,5.56,6.325
EXK,11.578948,0.188,6,339000,1,0.627415,4,9,3.684,,,,0.18080999,9.074,1.641,0.19,,,Silver,339000,,3.024,2.4,0.0059,0.00235,1.259,Basic Materials,4,4796449,4489095,5.55,0
RL,18.369295,0.032,10,212300000,1,0.666905,10,10,2.27,24.788,0.819,0.832,0.1533,9.978,1.53,7.23,0.0148,1.07056,Apparel Manufacturing,212300000,2.06,1.591,3,0.0713,0.06261,76.133,Consumer Cyclical,10,5835578,6178457,5.54,2.566
PPG,15.746439,0.086,6,1240000000,1,1.576297,6,3,1.7,101.786,-0.212,-0.252,0.15803,12.807,2.024,7.02,0.0014,0.80112,Specialty Chemicals,1240000000,2.07,1.118,2.5,0.07196,0.2353,61.211,Basic Materials,8,7679706,8694409,5.48,5.808
SHAK,82.80822,0.273,8,3646000,1,1.320377,9,4,2.631,7.152,0.375,0.559,0.15686,26.659,4.182,0.73,0.04486,1.18487,Restaurants,3646000,5.88,2.564,3,0.04321,0.05189,15.159,Consumer Cyclical,8,5785368,7081047,5.47,0.136
AM,13.550925,0.292,,258182000,,1.794184,,,1.307,91.002,0.057,0.062,0.62094,12.735,7.907,2.16,0.53075004,0.47775,Oil & Gas Midstream,258182000,1.03,1.302,1.4,0.086330004,0.23622999,4.731,Energy,,3934173,3602360,5.47,1.381
BLUE,-15.583333,-0.53,4,-457152000,1,2.705761,2,6,9.511,10.656,,,0,-19.374,241.269,-10.8,0.00456,0.99871004,Biotechnology,-457152000,0.08,9.303,2.1,-0.17859,-0.34404,0.742,Healthcare,6,3868544,3558605,5.46,-9.507
ANW,1.4126984,0.141,,-29307000,,3.691891,,,8.631,174.425,,,0.01169,15.189,0.178,1.26,0.19440001,0.34324002,Oil & Gas Integrated,-29307000,0.31,5.572,2,0.0084,-0.050180003,147.148,Energy,,4229091,4295525,5.45,-0.76
STMP,21.94788,0.202,8,178992992,1,-0.41084,10,6,3.377,13.364,0.409,0.467,0.39304,20.785,8.169,11.32,0.72290003,0,Software - Application,178992992,1.44,3.234,2,0.16304001,0.35329,29.661,Technology,6,1872970,1973048,5.42,9.586
UNP,17.115908,0.08,7,11290999808,1,0.864857,6,10,1.028,114.586,0.366,0.292,0.47934,12.576,6.028,8.8,0.00265,0.82958,Railroads,11290999808,1.07,0.761,2.3,0.09116,0.57135,28.259,Industrials,1,19996327,23724177,5.42,14.436
WEN,25.57971,0.019,1,223568000,1,0.844438,6,1,1.715,650.993,,,0.31621,17.317,5.476,0.69,0.07696,0.80751,Restaurants,223568000,1.17,1.329,2.1,0.04025,0.48729,5.169,Consumer Cyclical,1,17021351,20642942,5.41,0.897
TRXC,-24.166668,3.033,6,-149799008,2,2.461947,5,9,7.393,11.436,,,0,-22.556,74.77,-0.24,0.15946001,0.29995,Medical Instruments & Supplies,-149799008,,6.256,2.4,-0.17959,-1.03474,0.079,Healthcare,2,32705941,31370262,5.41,-0.804
NOV,45.259617,0.197,6,-84000000,1,0.807788,9,3,3.194,19.437,,,0.08164,31.316,2.557,1.04,0.00317,0.9878,Oil & Gas Equipment & Services,-84000000,8.85,1.618,2.9,-0.00206,-0.00593,20.438,Energy,6,19315199,24009125,5.39,-0.23
ARNA,-11.12894,1.104,2,-111924000,1,2.680239,1,5,28.746,10.696,,,0,-14.435,58.889,-3.49,0.00153,0.84376,Biotechnology,-111924000,0.64,28.484,1.8,-0.15112,-0.35084,0.565,Healthcare,3,3008350,3299411,5.39,-2.638
VEEV,60.67442,0.258,9,160964000,2,1.081303,3,9,3.911,,0.28,0.329,0.24239999,74.887,18.152,1.72,0.00787,0.91528,Health Information Services,160964000,3.57,3.859,1.9,0.08886,0.17718,5.364,Technology,10,3928090,3939650,5.37,1.041
BCO,14.754419,0.054,1,-117800000,1,1.591928,2,1,1.793,501.265,,,0.11124,11.876,1.321,5.09,0.00931,0.9967,Security & Protection Services,-117800000,1.15,1.468,1.6,0.05657,-0.32708,68.399,Industrials,1,2081857,2236551,5.37,-2.314
AKS,5.0454545,0.122,1,-70000000,1,2.429149,1,1,2.006,549.245,-0.251,-0.267,0.06856,8.45,0.579,0.88,0.00818,0.65999,Steel,-70000000,0.29,0.665,2.9,0.0271,-0.029830001,20.332,Basic Materials,1,81235119,78118805,5.36,-0.223
GFN,195,0.233,,-2163000,,0.851347,,,1.687,287.047,,,0.2347,10.812,2.538,0.07,0.51668,0.23525,Rental & Leasing Services,-2163000,-22.42,1.041,1.7,0.03296,0.00619,12.437,Industrials,,351009,421558,5.35,-0.09
ADMP,-7.7027025,0.03,,-32115724,,0.620565,,,0.778,19.006,,,-2.12327,-4.729,10.04,-0.37,0.04614,0.084580004,Drug Manufacturers - Specialty & Generic,-32115724,,0.418,2,-0.47053,-1.08486,0.405,Healthcare,,3298873,3534343,5.31,-0.975
GPRO,45.785713,-0.047,9,-154803008,2,0.820892,7,9,1.487,71.606,,,-0.07886,-9.589,0.756,0.14,0.00747,0.42022,Consumer Electronics,-154803008,-3.19,1.003,3.3,-0.12323,-0.61855,8.359,Technology,10,24723172,24405432,5.3,-1.126
KR,13.876652,0.034,7,3593999872,1,0.917216,6,7,0.763,206.036,6.406,5.686,0.04315,7.165,0.309,2.27,0.00719,0.82558,Grocery Stores,3593999872,2.18,0.169,2.4,0.04918,0.55216,141.406,Consumer Defensive,8,41573607,48419072,5.28,4.069
CLR,17.355263,0.803,6,1328945024,1,1.770123,7,7,0.971,109.852,,,0.82484,9.944,8.202,3.8,0.62011003,0.06191,Oil & Gas E&P,1328945024,0.17,0.881,2,0.05093,0.26935,10.092,Energy,5,9864704,10623054,5.27,3.534
NWL,9.443479,-0.128,1,2056300032,1,0.5703,2,2,3.165,75.068,-0.412,-0.409,0.13965,9.412,1.314,2.3,0.00611,1.0333999,Household & Personal Products,2056300032,2.5,0.969,2.6,0.02533,0.15654999,28.996,Consumer Defensive,2,51552803,40808319,5.26,4.248
CRUS,13.080358,-0.207,1,114811000,2,0.293883,1,2,4.847,,,,0.19724001,8.497,1.676,3.36,0.00886,0.92521006,Semiconductors,114811000,0.96,2.975,2.5,0.09361,0.10037,23.362,Technology,3,6017752,6939304,5.25,1.782
CTRP,24.166668,0.113,,478801760,,2.032826,,,1.403,55.964,17.809,19.385,0.14795,34.775,5.145,1.62,2.00E-05,0.70567,Leisure,478801760,57.48,1.196,2,0.012460001,0.03838,7.766,Consumer Cyclical,,22942139,25303149,5.24,0.836
KMB,16.529327,0.006,5,1732000000,1,0.594365,8,6,0.756,4240.449,-0.128,-0.143,0.21648,11.807,2.556,6.99,0.00367,0.77684,Household & Personal Products,1732000000,2.86,0.416,3.1,0.13814001,6.9391,52.777,Consumer Defensive,3,15172429,18382966,5.23,4.909
VIRT,12.386363,1.32,10,193164992,2,-0.835968,10,8,1.219,148.82,23.002,26.979,0,,0.215,1.76,0.088870004,0.96958,Capital Markets,193164992,-4.88,1.219,2.5,0.07796,0.45945,13.488,Financial Services,10,6191044,4808577,5.23,2.132
YRD,5.395833,0.284,,187773664,,4.557,,,5.126,,-0.257,-0.239,0.24861999,4.178,1.039,3.36,0,0.10913,Credit Services,187773664,0.29,2.449,2.8,0.14134,0.3369,16.451,Financial Services,,2469608,2298713,5.23,3.036
ATRS,70.799995,0.056,5,-19880000,2,-0.388721,2,6,2.331,101.404,,,-0.2887,-34.264,9.892,0.05,0.07718,0.39169,Medical Instruments & Supplies,-19880000,-0.41,1.788,1.4,-0.14711,-0.61234003,0.357,Healthcare,7,5773473,6263498,5.22,-0.127
FL,10.18595,0.048,6,306000000,2,0.568971,5,5,3.501,4.996,0.931,0.725,0.11677,5.307,0.62,4.84,0.23669,0.08976,Footwear & Accessories,306000000,1.29,1.318,2.3,0.11941,0.11384,65.67,Consumer Cyclical,7,12498453,10412185,5.22,2.537
W,-44.173203,0.474,9,-357708992,2,1.841399,6,9,0.892,,,,-0.046269998,-44.883,2.077,-3.06,0.06219,1.13172,Specialty Retail,-357708992,-2.29,0.685,2.4,-0.20265,,64.587,Consumer Cyclical,10,9182223,10434009,5.22,-4.056
BTE,-9.060606,0.243,8,-41098844,2,4.198619,9,7,0.569,91.083,,,0.38054,7.765,2.955,-0.33,0.012669999,0.36025003,Oil & Gas E&P,-41098844,-1.72,0.53,2.7,-0.01571,-0.02842,2.932,Energy,1,9696973,11904765,5.19,-0.174
BABA,22.81747,0.612,,8814023680,,2.615728,,,1.443,29.22,-0.415,-0.406,0.30025,35.524,10.666,7.67,0.5251,0.40473998,Specialty Retail,8814023680,46.63,1.128,1.7,0.056999996,0.13484,16.668,Consumer Cyclical,,141518165,133752561,5.18,3.367
TRVN,-2.6086955,,6,-49044000,2,-0.437777,2,9,3.398,60.451,,,0,-1.986,35.998,-0.69,0.051209997,0.50159,Biotechnology,-49044000,,3.32,2,-0.34972,-1.04015,0.039,Healthcare,8,5941090,6249657,5.16,-0.764
ACRX,-4.025974,-0.692,,-45031000,,1.734447,,,4.008,,,,0,-4.851,44.388,-0.77,0.14252,0.09648,Medical Devices,-45031000,,3.879,2.3,-0.28088,,0.068,Healthcare,,3205974,3991585,5.16,-0.904
WMT,19.683779,0.038,9,5197000192,2,0.416561,9,10,0.926,72.882,,,0.06398,9.917,0.634,4.87,0.518,0.29927,Discount Stores,5197000192,3.4,0.291,2.4,0.0673,0.0761,172.44,Consumer Defensive,3,28481134,28674096,5.15,1.748
BEN,10.238709,-0.034,4,667500032,2,1.5243,8,8,4.845,5.971,0.025,-0.021,0.35139,4.512,1.585,3.1,0.43631,0.48925,Asset Management,667500032,13.13,4.845,3.3,0.08411,0.05553,11.746,Financial Services,1,14728439,16568578,5.15,1.219
