Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
CME,CME Group Inc.,172.17,58637719376,n/a,2002,Finance,Investment Bankers/Brokers/Service
CCNE,CNB Financial Corporation,31.12,475682581.6,n/a,n/a,Finance,Major Banks
CCB,Coastal Financial Corporation,16.34,186329971,n/a,2018,Finance,Major Banks
CWAY,"Coastway Bancorp, Inc.",27.9,122379192.9,n/a,2014,Finance,Savings Institutions
COBZ,CoBiz Financial Inc.,22.95,973062213.8,n/a,1998,Finance,Major Banks
COKE,Coca-Cola Bottling Co. Consolidated,165.35,1546760788,n/a,1972,Consumer Non-Durables,Beverages (Production/Distribution)
COCP,"Cocrystal Pharma, Inc.",3.7075,110939804.3,n/a,n/a,Health Care,Major Pharmaceuticals
CODA,"Coda Octopus Group, Inc.",4.1832,43569768.21,n/a,n/a,Capital Goods,Industrial Machinery/Components
CDXS,"Codexis, Inc.",16.725,894994070.5,n/a,2010,Basic Industries,Major Chemicals
CODX,"Co-Diagnostics, Inc.",3.32,40995449.64,n/a,2017,Health Care,Medical/Dental Instruments
CVLY,"Codorus Valley Bancorp, Inc",30.85,275986012.7,n/a,n/a,Finance,Savings Institutions
JVA,"Coffee Holding Co., Inc.",5.25,29937295.5,n/a,2005,Consumer Non-Durables,Food Distributors
CCOI,"Cogent Communications Holdings, Inc.",54.5,2531671878,n/a,n/a,Consumer Services,Telecommunications Equipment
CGNX,Cognex Corporation,53.08,9131460896,n/a,1989,Capital Goods,Industrial Machinery/Components
CTSH,Cognizant Technology Solutions Corporation,77.69,45078366563,n/a,1998,Technology,EDP Services
CWBR,"CohBar, Inc.",5.3,225058118.8,n/a,n/a,Health Care,Major Pharmaceuticals
COHR,"Coherent, Inc.",189.97,4616138591,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
CHRS,"Coherus BioSciences, Inc.",20.15,1366589664,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COHU,"Cohu, Inc.",26.72,771921160.8,n/a,n/a,Capital Goods,Electrical Products
CLCT,"Collectors Universe, Inc.",13.7,123522529.1,n/a,1999,Miscellaneous,Business Services
COLL,"Collegium Pharmaceutical, Inc.",17.1,568091138.4,n/a,2015,Health Care,Major Pharmaceuticals
CIGI,Colliers International Group Inc. ,82.4,3120413181,n/a,n/a,Finance,Real Estate
CLGN,"CollPlant Holdings, Ltd.",5.59,833139.19,149041,n/a,Health Care,Industrial Specialties
CBAN,"Colony Bankcorp, Inc.",17.75,149796829.5,n/a,n/a,Finance,Major Banks
COLB,"Columbia Banking System, Inc.",41.8,3062714549,n/a,1992,Finance,Major Banks
CLBK,"Columbia Financial, Inc.",16.87,1955050382,n/a,2018,Finance,Savings Institutions
COLM,Columbia Sportswear Company,91.14,6339917501,n/a,1998,Consumer Non-Durables,Apparel
CMCO,Columbus McKinnon Corporation,42.6,991395166.2,n/a,1996,Capital Goods,Construction/Ag Equipment/Trucks
CMCSA,Comcast Corporation,36.75,1.68386E+11,n/a,n/a,Consumer Services,Television Services
CCNI,"Command Center, Inc.",5.5722,27184490.34,n/a,n/a,Technology,Professional Services
CBSH,"Commerce Bancshares, Inc.",70.81,7549539149,n/a,n/a,Finance,Major Banks
CBSHP,"Commerce Bancshares, Inc.",25.67,2352409171,n/a,n/a,Finance,Major Banks
CVGI,"Commercial Vehicle Group, Inc.",9.9,307437787.8,n/a,2004,Capital Goods,Auto Parts:O.E.M.
COMM,"CommScope Holding Company, Inc.",31.85,6122052655,n/a,2013,Technology,Radio And Television Broadcasting And Communications Equipment
JCS,"Communications Systems, Inc.",3.42,31292740.08,n/a,n/a,Public Utilities,Telecommunications Equipment
ESXB,Community Bankers Trust Corporation.,8.95,197897880.3,n/a,n/a,Finance,Major Banks
CFBI,"Community First Bancshares, Inc.",11.5143,86797671.98,n/a,2017,Finance,Savings Institutions
CYHHZ,"Community Health Systems, Inc.",0.025,0,n/a,n/a,Health Care,Hospital/Nursing Management
CTBI,"Community Trust Bancorp, Inc.",49.4,875822974,n/a,n/a,Finance,Major Banks
CWBC,Community West Bancshares,12.0597,99535722.85,n/a,n/a,Finance,Major Banks
CVLT,"Commvault Systems, Inc.",69.35,3171707895,n/a,2006,Technology,Computer Software: Prepackaged Software
CGEN,Compugen Ltd.,3.9,223068413.1,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CPSI,"Computer Programs and Systems, Inc.",27.5,387364697.5,n/a,2002,Technology,EDP Services
CTG,"Computer Task Group, Incorporated",6,86827704,n/a,n/a,Technology,EDP Services
SCOR,"comScore, Inc.",18.95,1097203219,n/a,2018,Miscellaneous,Business Services
CHCI,"Comstock Holding Companies, Inc.",2.95,11537281.85,n/a,2004,Capital Goods,Homebuilding
CMTL,Comtech Telecommunications Corp.,35.96,850165744.6,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
CNAT,Conatus Pharmaceuticals Inc.,5.35,161415106.8,n/a,2013,Health Care,Major Pharmaceuticals
CNCE,"Concert Pharmaceuticals, Inc.",15.74,368552493.5,n/a,2014,Health Care,Major Pharmaceuticals
CDOR,"Condor Hospitality Trust, Inc.",10.44,124074117.4,n/a,n/a,Consumer Services,Real Estate Investment Trusts
CFMS,"ConforMIS, Inc.",1.24,78333950.84,n/a,2015,Health Care,Industrial Specialties
CNFR,"Conifer Holdings, Inc.",6.05,51547984.4,n/a,2015,Finance,Property-Casualty Insurers
CNMD,CONMED Corporation,79.61,2237897206,n/a,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CTWS,"Connecticut Water Service, Inc.",68.71,827543652.3,n/a,n/a,Public Utilities,Water Supply
CNOB,"ConnectOne Bancorp, Inc.",24.95,802995116.4,n/a,n/a,Finance,Major Banks
CONN,"Conn&#39;s, Inc.",39.05,1233497147,n/a,2003,Consumer Services,Consumer Electronics/Video Chains
CNSL,"Consolidated Communications Holdings, Inc.",12.22,870706478.7,n/a,2005,Public Utilities,Telecommunications Equipment
CWCO,Consolidated Water Co. Ltd.,13.4,200516970.2,n/a,n/a,Public Utilities,Water Supply
CNAC,Constellation Alpha Capital Corp.,10.07,51384601.87,n/a,2017,Finance,Business Services
CNACR,Constellation Alpha Capital Corp.,0.53,0,n/a,2017,Finance,Business Services
CNACU,Constellation Alpha Capital Corp.,10.35,191785500,n/a,2017,Finance,Business Services
CNACW,Constellation Alpha Capital Corp.,0.39,0,n/a,2017,Finance,Business Services
CNST,"Constellation Pharmaceuticals, Inc.",9.6695,248688226.7,n/a,2018,Health Care,Major Pharmaceuticals
ROAD,"Construction Partners, Inc.",11.99,616461281.8,n/a,2018,Basic Industries,Military/Government/Technical
CPSS,"Consumer Portfolio Services, Inc.",3.78,86746036.86,n/a,1992,Finance,Finance: Consumer Services
CFRX,ContraFect Corporation,2.02,160407303.1,n/a,2014,Health Care,Major Pharmaceuticals
CTRV,ContraVir Pharmaceuticals Inc.,0.7,10116342.6,n/a,n/a,Health Care,Major Pharmaceuticals
CTRL,Control4 Corporation,33.09,863504562.2,n/a,2013,Capital Goods,Electrical Products
CVON,"ConvergeOne Holdings, Inc.",9.17,700572493.5,n/a,2017,Technology,Computer Software: Prepackaged Software
AWSM,Cool Holdings Inc.,3.6,25512274.8,n/a,n/a,Consumer Non-Durables,Electronic Components
CPRT,"Copart, Inc.",64.12,14893674144,n/a,1994,Consumer Durables,Automotive Aftermarket
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",5.5,314633495,n/a,n/a,Health Care,Major Pharmaceuticals
CORT,Corcept Therapeutics Incorporated,14.81,1718718894,n/a,1982,Health Care,Major Pharmaceuticals
CORE,"Core-Mark Holding Company, Inc.",34.67,1592522454,n/a,n/a,Consumer Non-Durables,Food Distributors
CORI,"Corium International, Inc.",9.76,353802547.4,n/a,2014,Health Care,Major Pharmaceuticals
CSOD,"Cornerstone OnDemand, Inc.",56.66,3329684620,n/a,2011,Technology,Computer Software: Prepackaged Software
CORV,Correvio Pharma Corp.,4.5,156921619.5,n/a,n/a,Health Care,Major Pharmaceuticals
CRVL,CorVel Corp.,59.8,1129065083,n/a,n/a,Finance,Specialty Insurers
CRVS,"Corvus Pharmaceuticals, Inc.",10.65,310957177.1,n/a,2016,Health Care,Major Pharmaceuticals
CSGP,"CoStar Group, Inc.",442.13,16089589969,n/a,1998,Miscellaneous,Business Services
COST,Costco Wholesale Corporation,230.19,1.00962E+11,n/a,n/a,Consumer Services,Department/Specialty Retail Stores
CPAH,CounterPath Corporation,2.18,12930473.8,n/a,n/a,Technology,Computer Software: Prepackaged Software
ICBK,"County Bancorp, Inc.",24.75,165721594.5,n/a,2015,Finance,Major Banks
COUP,Coupa Software Incorporated,71.3,4064061142,n/a,2016,Technology,Computer Software: Prepackaged Software
CVTI,"Covenant Transportation Group, Inc.",30.13,552679531.3,n/a,1994,Transportation,Trucking Freight/Courier Services
COWN,Cowen Inc.,15.25,451544448,n/a,n/a,Finance,Investment Bankers/Brokers/Service
COWNL,Cowen Inc.,25.47,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service
COWNZ,Cowen Inc.,25.61,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service
PMTS,CPI Card Group Inc.,2.7,30131227.8,n/a,2015,Finance,Finance Companies
CPSH,CPS Technologies Corp.,1.649,21772465.96,n/a,n/a,Capital Goods,Building Materials
CRAI,"CRA International,Inc.",56.84,459254070,n/a,1998,Miscellaneous,Other Consumer Services
CBRL,"Cracker Barrel Old Country Store, Inc.",149.41,3586379520,n/a,1981,Consumer Services,Restaurants
BREW,"Craft Brew Alliance, Inc.",18.9,365953140,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
CRAY,Cray Inc,21.9,894107883.6,n/a,n/a,Technology,Computer Manufacturing
CACC,Credit Acceptance Corporation,451.53,8718884007,n/a,1992,Finance,Finance: Consumer Services
DGLD,Credit Suisse AG,55.73,21122227.3,n/a,n/a,Finance,Investment Bankers/Brokers/Service
DSLV,Credit Suisse AG,33.37,17150044.32,n/a,n/a,Finance,Investment Bankers/Brokers/Service
GLDI,Credit Suisse AG,8.19,110773042.4,n/a,n/a,Finance,Investment Bankers/Brokers/Service
SLVO,Credit Suisse AG,6.76,5746000,n/a,n/a,Finance,Investment Bankers/Brokers/Service
TVIX,Credit Suisse AG,31.26,527616001.9,n/a,n/a,Finance,Investment Bankers/Brokers/Service
UGLD,Credit Suisse AG,8.22,124455880,n/a,n/a,Finance,Investment Bankers/Brokers/Service
USLV,Credit Suisse AG,6.76,307022049.9,n/a,n/a,Finance,Investment Bankers/Brokers/Service
USOI,Credit Suisse AG,28.8938,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service
VIIX,Credit Suisse AG,12.1969,12613948.6,n/a,n/a,Finance,Investment Bankers/Brokers/Service
ZIV,Credit Suisse AG,78.31,142367580,n/a,n/a,Finance,Investment Bankers/Brokers/Service
CREE,"Cree, Inc.",46.78,4760240877,n/a,1993,Technology,Semiconductors
CRESY,Cresud S.A.C.I.F. y A.,13.92,537580419.4,38619283,1997,Finance,Real Estate
CRNX,"Crinetics Pharmaceuticals, Inc.",30.87,710255756.1,n/a,2018,Health Care,Major Pharmaceuticals
CRSP,CRISPR Therapeutics AG,52.17,2482606538,n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRTO,Criteo S.A.,26.3,1713594384,65155680,2013,Technology,Advertising
CROX,"Crocs, Inc.",20.52,1397295077,n/a,2006,Consumer Non-Durables,Shoe Manufacturing
CRON,Cronos Group Inc.,12.74,2253777803,n/a,n/a,Consumer Durables,Specialty Chemicals
CCRN,"Cross Country Healthcare, Inc.",9.99,362584192.9,n/a,2001,Technology,Professional Services
CRWS,"Crown Crafts, Inc.",5.5737,56124695.42,n/a,n/a,Basic Industries,Textiles
CYRX,"CryoPort, Inc.",14.11,403118071.9,n/a,n/a,Transportation,Oil Refining/Marketing
CYRXW,"CryoPort, Inc.",10.99,0,n/a,n/a,Transportation,Oil Refining/Marketing
CSGS,"CSG Systems International, Inc.",36.99,1239694290,n/a,1996,Technology,EDP Services
CCLP,CSI Compressco LP,6.19,263599367.3,n/a,2011,Energy,Oilfield Services/Equipment
CSPI,CSP Inc.,13.65,54835517.1,n/a,1982,Technology,EDP Services
CSWI,"CSW Industrials, Inc.",55.9,878543014.7,n/a,n/a,Basic Industries,Home Furnishings
CSX,CSX Corporation,74.82,64256205875,n/a,n/a,Transportation,Railroads
CTIC,CTI BioPharma Corp.,1.86,107859398.6,n/a,1997,Health Care,Major Pharmaceuticals
CTIB,CTI Industries Corporation,3.99,14085605.73,n/a,1997,Basic Industries,Specialty Chemicals
CTRP,"Ctrip.com International, Ltd.",39.61,18453986556,465892112,2003,Miscellaneous,Business Services
CUE,"Cue Biopharma, Inc.",8.55,172139424.3,n/a,2018,Health Care,Major Pharmaceuticals
CUI,"CUI Global, Inc.",2.275,64904853.65,n/a,n/a,Consumer Non-Durables,Electronic Components
CPIX,Cumberland Pharmaceuticals Inc.,6.19,96366656.61,n/a,2009,Health Care,Major Pharmaceuticals
CMLS,Cumulus Media Inc.,19.43,317812682.3,n/a,n/a,Consumer Services,Broadcasting
CRIS,"Curis, Inc.",1.44,47780850.24,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CUTR,"Cutera, Inc.",32.15,444853120,n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVBF,CVB Financial Corporation,23.95,3360212782,n/a,n/a,Finance,Major Banks
CVV,CVD Equipment Corporation,6.3889,41474496.3,n/a,n/a,Technology,Industrial Machinery/Components
CYAN,Cyanotech Corporation,3.5671,20649538.82,n/a,n/a,Consumer Durables,Specialty Chemicals
CYBR,CyberArk Software Ltd.,73.76,2624264480,n/a,2014,Technology,Computer Software: Prepackaged Software
CYBE,CyberOptics Corporation,21.65,152450401.9,n/a,1987,Capital Goods,Electronic Components
CYCC,"Cyclacel Pharmaceuticals, Inc.",1.51,18116144.97,n/a,n/a,Health Care,Major Pharmaceuticals
CYCCP,"Cyclacel Pharmaceuticals, Inc.",6.25,2095456.25,n/a,n/a,Health Care,Major Pharmaceuticals
CBAY,CymaBay Therapeutics Inc.,12.88,760600038.2,n/a,n/a,Health Care,Major Pharmaceuticals
CY,Cypress Semiconductor Corporation,16.71,6041318528,n/a,1986,Technology,Semiconductors
CYRN,CYREN Ltd.,2.9,154811048,n/a,n/a,Technology,Computer Software: Prepackaged Software
CONE,CyrusOne Inc,67.82,6721979436,n/a,2013,Consumer Services,Real Estate Investment Trusts
CYTK,"Cytokinetics, Incorporated",7.55,412441377.4,n/a,2004,Health Care,Major Pharmaceuticals
CTMX,"CytomX Therapeutics, Inc.",23.31,1048103661,n/a,2015,Health Care,Major Pharmaceuticals
CYTX,Cytori Therapeutics Inc.,0.57,4393522.38,n/a,n/a,Health Care,Medical/Dental Instruments
CYTXW,Cytori Therapeutics Inc.,0.0084,0,n/a,n/a,Health Care,Medical/Dental Instruments
CYTXZ,Cytori Therapeutics Inc.,0.004,0,n/a,n/a,Health Care,Medical/Dental Instruments
CTSO,Cytosorbents Corporation,14.55,457734895.7,n/a,n/a,Health Care,Medical/Dental Instruments
CYTR,CytRx Corporation,1.09,36664876.09,n/a,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DJCO,Daily Journal Corp. (S.C.),238,328617548,n/a,n/a,Consumer Services,Newspapers/Magazines
DAKT,"Daktronics, Inc.",7.82,348683047.5,n/a,1994,Consumer Durables,Miscellaneous manufacturing industries
DARE,"Dare Bioscience, Inc.",1.03,11764825.83,n/a,2014,Health Care,Major Pharmaceuticals
DRIO,DarioHealth Corp.,1.01,21555006.91,n/a,n/a,Health Care,Medical/Dental Instruments
DRIOW,DarioHealth Corp.,0.3,0,n/a,n/a,Health Care,Medical/Dental Instruments
DZSI,"DASAN Zhone Solutions, Inc.",10.1,166629274.8,n/a,n/a,Public Utilities,Telecommunications Equipment
DSKE,"Daseke, Inc.",8.89,572919348.2,n/a,2015,Consumer Services,Transportation Services
DSKEW,"Daseke, Inc.",0.96,0,n/a,2015,Consumer Services,Transportation Services
DAIO,Data I/O Corporation,5.63,47502229.83,n/a,1981,Capital Goods,Electrical Products
DWCH,Datawatch Corporation,12.6,160436820.6,n/a,1992,Technology,Computer Software: Prepackaged Software
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",57.97,2282412927,n/a,2014,Consumer Services,Restaurants
DTEA,DAVIDsTEA Inc.,3.25,84289975.25,n/a,2015,Consumer Non-Durables,Food Chains
DFNL,Davis Select Financial ETF,25.2106,155045190,n/a,n/a,n/a,n/a
DINT,Davis Select International ETF,19.0414,56172130,n/a,n/a,n/a,n/a
DUSA,Davis Select U.S. Equity ETF,25.8143,140687935,n/a,n/a,n/a,n/a
DWLD,Davis Select Worldwide ETF,26.72,255176000,n/a,n/a,n/a,n/a
DWSN,Dawson Geophysical Company,6.31,144632765.7,n/a,n/a,Energy,Oil & Gas Production
DBVT,DBV Technologies S.A.,22.27,592035300.6,26584432,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DCPH,"Deciphera Pharmaceuticals, Inc.",37.65,1417793618,n/a,2017,Health Care,Major Pharmaceuticals
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",9.35,311545010.7,n/a,2012,Consumer Services,Restaurants
TACO,"Del Taco Restaurants, Inc.",12.83,491386972.9,n/a,2014,Consumer Services,Restaurants
TACOW,"Del Taco Restaurants, Inc.",3,0,n/a,2014,Consumer Services,Restaurants
DMPI,"DelMar Pharmaceuticals, Inc.",0.545,11996669.17,n/a,n/a,Health Care,Major Pharmaceuticals
DELT,Delta Technology Holdings Limited,0.82,10381457.48,n/a,n/a,Basic Industries,Major Chemicals
DNLI,Denali Therapeutics Inc.,18.02,1708424140,n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DENN,Denny&#39;s Corporation,15.28,968541930.6,n/a,n/a,Consumer Services,Restaurants
XRAY,DENTSPLY SIRONA Inc.,39.56,8795963215,n/a,1987,Health Care,Medical/Dental Instruments
DERM,"Dermira, Inc.",9.63,404714135.7,n/a,2014,Health Care,Major Pharmaceuticals
DEST,Destination Maternity Corporation,4.94,73550637.42,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
DXLG,"Destination XL Group, Inc.",2.325,114257502.9,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
DSWL,"Deswell Industries, Inc.",3.4501,54805663.07,n/a,1995,Consumer Non-Durables,Plastic Products
DTRM,"Determine, Inc. ",0.766,11522191.92,n/a,n/a,Technology,Computer Software: Prepackaged Software
DXCM,"DexCom, Inc.",142.22,12565952347,n/a,2005,Health Care,Medical/Dental Instruments
DFBH,DFB Healthcare Acquisitions Corp.,9.73,71151646.65,n/a,2018,Finance,Business Services
DFBHU,DFB Healthcare Acquisitions Corp.,10.25,0,n/a,2018,Finance,Business Services
DFBHW,DFB Healthcare Acquisitions Corp.,1.5,0,n/a,2018,Finance,Business Services
DHXM,DHX Media Ltd.,1.8,241867731.6,n/a,n/a,n/a,n/a
DHIL,"Diamond Hill Investment Group, Inc.",186.2,657309088.8,n/a,n/a,Finance,Investment Managers
FANG,"Diamondback Energy, Inc.",121.91,12022939750,n/a,2012,Energy,Oil & Gas Production
DCIX,Diana Containerships Inc.,1.335,13295178.23,n/a,n/a,Transportation,Marine Transportation
DRNA,"Dicerna Pharmaceuticals, Inc.",15.68,830250668.8,n/a,2014,Health Care,Major Pharmaceuticals
DFBG,Differential Brands Group Inc.,4.98,70115810.4,n/a,n/a,Consumer Non-Durables,Apparel
DFFN,Diffusion Pharmaceuticals Inc.,0.384,19419648.38,n/a,n/a,Health Care,Major Pharmaceuticals
DGII,Digi International Inc.,13.25,360965682.3,n/a,1989,Technology,Computer Communications Equipment
DMRC,Digimarc Corporation,28.45,337997522.3,n/a,n/a,Technology,EDP Services
DRAD,Digirad Corporation,1.7,34202840.6,n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DGLY,"Digital Ally, Inc.",2.55,19630810.35,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
APPS,"Digital Turbine, Inc.",1.43,109838904.9,n/a,n/a,Miscellaneous,Multi-Sector Companies
DCOM,"Dime Community Bancshares, Inc.",18.25,683635528.3,n/a,n/a,Finance,Savings Institutions
DIOD,Diodes Incorporated,38.21,1913874287,n/a,n/a,Technology,Semiconductors
DISCA,"Discovery, Inc.",28.34,14805497945,n/a,n/a,Consumer Services,Television Services
DISCB,"Discovery, Inc.",28.055,14656607087,n/a,n/a,Consumer Services,Television Services
DISCK,"Discovery, Inc.",26.12,13645716526,n/a,n/a,Consumer Services,Television Services
DISH,DISH Network Corporation,36.13,16891363955,n/a,1995,Consumer Services,Television Services
DVCR,Diversicare Healthcare Services Inc.,6.2,40524179.6,n/a,n/a,Health Care,Hospital/Nursing Management
SAUC,"Diversified Restaurant Holdings, Inc.",1.18,38439559.64,n/a,n/a,Consumer Services,Restaurants
DLHC,DLH Holdings Corp.,5.35,63662292.9,n/a,n/a,Technology,Professional Services
BOOM,DMC Global Inc.,41.35,615648158.5,n/a,n/a,Capital Goods,Industrial Specialties
DNBF,DNB Financial Corp,34.25,147494200,n/a,n/a,Finance,Major Banks
DOCU,"DocuSign, Inc.",67.87,10627441325,n/a,2018,Technology,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation,2.89,74890393.59,n/a,2017,Consumer Durables,Miscellaneous manufacturing industries
DLTR,"Dollar Tree, Inc.",94.46,22460280531,n/a,1995,Consumer Services,Department/Specialty Retail Stores
DLPN,"Dolphin Entertainment, Inc.",2.8999,39752983.36,n/a,n/a,Consumer Services,Other Consumer Services
DLPNW,"Dolphin Entertainment, Inc.",0.3285,0,n/a,n/a,Consumer Services,Other Consumer Services
DOMO,"Domo, Inc.",22.59,563706477.5,n/a,2018,Technology,Computer Software: Prepackaged Software
DGICA,"Donegal Group, Inc.",14.43,408254599,n/a,n/a,Finance,Property-Casualty Insurers
DGICB,"Donegal Group, Inc.",13.4,379113764.8,n/a,1986,Finance,Property-Casualty Insurers
DMLP,"Dorchester Minerals, L.P.",18.4,593947841.6,n/a,n/a,Energy,Oil & Gas Production
DORM,"Dorman Products, Inc.",80.95,2686395124,n/a,n/a,Capital Goods,Auto Parts:O.E.M.
DOVA,"Dova Pharmaceuticals, Inc.",25.46,718029692.4,n/a,2017,Health Care,Major Pharmaceuticals
LYL,Dragon Victory International Limited,2.2027,25157904.56,n/a,2017,Finance,Finance/Investors Services
DOTA,"Draper Oakwood Technology Acquisition, Inc.",10.07,23430664.53,n/a,2017,Finance,Business Services
DOTAR,"Draper Oakwood Technology Acquisition, Inc.",0.5986,0,n/a,2017,Finance,Business Services
DOTAU,"Draper Oakwood Technology Acquisition, Inc.",10.7,0,n/a,2017,Finance,Business Services
DOTAW,"Draper Oakwood Technology Acquisition, Inc.",0.75,0,n/a,2017,Finance,Business Services
DBX,"Dropbox, Inc.",27.01,10866297674,n/a,2018,Technology,Computer Software: Prepackaged Software
DCAR,"DropCar, Inc.",0.74,6032293.52,n/a,n/a,Consumer Services,Telecommunications Equipment
DRYS,DryShips Inc.,4.93,486633969.9,n/a,2005,Transportation,Marine Transportation
DSPG,"DSP Group, Inc.",12.85,288342023.8,n/a,1994,Technology,Semiconductors
DLTH,Duluth Holdings Inc.,28.11,915915522.9,n/a,2015,Consumer Services,Clothing/Shoe/Accessory Stores
DNKN,"Dunkin&#39; Brands Group, Inc.",71.8,6015171153,n/a,2011,Consumer Services,Restaurants
DRRX,DURECT Corporation,1.27,205742098,n/a,2000,Health Care,Major Pharmaceuticals
DXPE,"DXP Enterprises, Inc.",46.64,810937888.6,n/a,n/a,Capital Goods,Industrial Machinery/Components
DYSL,Dynasil Corporation of America,1.3601,23553682.72,n/a,n/a,Capital Goods,Industrial Machinery/Components
DYNT,Dynatronics Corporation,2.9,23459254.2,n/a,n/a,Health Care,Medical/Dental Instruments
DVAX,Dynavax Technologies Corporation,13.2,826525735.2,n/a,2004,Health Care,Major Pharmaceuticals
ETFC,E*TRADE Financial Corporation,59.54,15461050691,n/a,n/a,Finance,Savings Institutions
SSP,E.W. Scripps Company (The),14.52,1190083129,n/a,n/a,Consumer Services,Broadcasting
EBMT,"Eagle Bancorp Montana, Inc.",18.9,103202542.8,n/a,n/a,Finance,Major Banks
EGBN,"Eagle Bancorp, Inc.",53.85,1847528503,n/a,n/a,Finance,Major Banks
EGLE,Eagle Bulk Shipping Inc.,5.11,373221405.3,n/a,n/a,Transportation,Marine Transportation
EFBI,"Eagle Financial Bancorp, Inc.",16.054,25892019.63,n/a,2017,Finance,Savings Institutions
EGRX,"Eagle Pharmaceuticals, Inc.",81.63,1229015076,n/a,2014,Health Care,Major Pharmaceuticals
EWBC,"East West Bancorp, Inc.",63.64,9222263447,n/a,n/a,Finance,Major Banks
EACQ,Easterly Acquisition Corp.,10.35,67624674.75,n/a,2015,Finance,Finance: Consumer Services
EACQU,Easterly Acquisition Corp.,11.4,0,n/a,2015,Finance,Finance: Consumer Services
EACQW,Easterly Acquisition Corp.,1.02,0,n/a,2015,Finance,Finance: Consumer Services
EML,Eastern Company (The),28.8,180487036.8,n/a,n/a,Capital Goods,Industrial Machinery/Components
EAST,"Eastside Distilling, Inc.",7.51,48170904.85,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
EASTW,"Eastside Distilling, Inc.",1.8,0,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
EVGBC,Eaton Vance NextShares Trust,100.02,60012000,n/a,n/a,n/a,n/a
EVSTC,Eaton Vance NextShares Trust,100.02,95019000,n/a,n/a,n/a,n/a
EVFTC,Eaton Vance NextShares Trust II,100.05,52526250,n/a,n/a,n/a,n/a
EVLMC,Eaton Vance NextShares Trust II,99.96,69972000,n/a,n/a,n/a,n/a
OKDCC,Eaton Vance NextShares Trust II,100.06,512807500,n/a,n/a,n/a,n/a
EBAY,eBay Inc.,34.93,34564967912,n/a,1998,Miscellaneous,Business Services
EBAYL,eBay Inc.,26.24,0,n/a,n/a,Miscellaneous,Business Services
EBIX,"Ebix, Inc.",78.95,2486188633,n/a,n/a,Technology,EDP Services
ELON,Echelon Corporation,8.42,38246250.2,n/a,1998,Technology,Computer Communications Equipment
ECHO,"Echo Global Logistics, Inc.",32.75,934949849.3,n/a,2009,Transportation,Oil Refining/Marketing
SATS,EchoStar Corporation,48.97,4709123167,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
EEI,"Ecology and Environment, Inc.",13.55,58442979.25,n/a,1987,Consumer Services,Military/Government/Technical
ESES,"Eco-Stim Energy Solutions, Inc.",0.3739,27995193.05,n/a,n/a,Energy,Oilfield Services/Equipment
EDAP,EDAP TMS S.A.,3.14,92134803.16,29342294,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDGE,"Edge Therapeutics, Inc.",0.85,26628908.8,n/a,2015,Health Care,Major Pharmaceuticals
EDGW,"Edgewater Technology, Inc.",5.01,72074776.83,n/a,n/a,Technology,"Computer Software: Programming, Data Processing"
EDIT,"Editas Medicine, Inc.",31.73,1512748184,n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDUC,Educational Development Corporation,12.1,99062240.2,n/a,n/a,Consumer Durables,Consumer Specialties
EGAN,eGain Corporation,15.25,418972430.5,n/a,1999,Technology,Computer Software: Prepackaged Software
EGLT,Egalet Corporation,0.387,21970803.09,n/a,2014,Health Care,Major Pharmaceuticals
EHTH,"eHealth, Inc.",29.34,562618969.6,n/a,2006,Finance,Specialty Insurers
